userID,한식,중식,일식,양식
0,3,4,1,3
1,2,2,4,3
2,2,1,4,4
3,3,2,1,5
4,2,3,3,5
5,1,3,3,4
6,2,3,2,3
7,1,1,3,4
8,3,5,4,4
9,2,3,3,5
10,2,2,1,2
11,4,1,1,3
12,4,1,4,5
13,5,4,3,4
14,2,3,5,3
15,3,3,2,3
16,2,3,2,2
17,4,3,2,4
18,1,4,1,5
19,1,3,3,5
20,1,1,1,1
21,5,2,5,2
22,2,5,5,5
23,2,5,1,5
24,4,4,3,4
25,4,3,3,5
26,3,4,3,4
27,2,3,5,2
28,5,4,1,3
29,2,4,1,2
30,1,3,3,1
31,1,5,1,1
32,3,2,1,2
33,5,3,4,1
34,4,2,2,1
35,5,5,1,4
36,1,2,5,3
37,1,1,2,1
38,4,5,1,3
39,4,5,2,2
40,4,5,5,5
41,1,4,1,2
42,4,2,1,2
43,3,2,5,2
44,2,1,1,2
45,5,4,4,3
46,3,2,2,1
47,2,4,2,1
48,3,1,1,4
49,1,4,3,3
50,4,3,2,2
51,4,1,5,2
52,3,5,5,3
53,5,5,4,4
54,5,1,3,3
55,3,5,4,2
56,1,1,5,4
57,3,4,5,1
58,1,3,1,5
59,4,5,4,5
60,5,5,1,4
61,5,1,1,4
62,3,3,1,4
63,4,3,5,5
64,4,2,2,1
65,1,5,1,4
66,3,4,1,4
67,2,2,1,5
68,4,1,4,3
69,2,1,4,4
70,5,3,1,1
71,2,5,4,2
72,5,2,2,2
73,3,4,5,5
74,3,2,2,3
75,3,3,3,3
76,5,1,4,3
77,4,2,3,3
78,1,2,5,5
79,3,2,5,3
80,1,3,3,2
81,1,3,2,5
82,5,5,2,2
83,4,1,5,1
84,5,3,5,1
85,5,3,3,1
86,5,3,2,1
87,3,3,5,5
88,5,1,2,1
89,4,4,1,5
90,3,5,1,3
91,1,4,3,5
92,1,2,5,5
93,4,1,3,5
94,1,3,5,2
95,2,1,4,4
96,4,4,1,1
97,3,4,4,5
98,4,3,1,4
99,3,3,2,3
100,3,4,4,2
101,1,1,2,4
102,3,5,5,5
103,1,5,2,1
104,3,5,2,1
105,1,3,5,2
106,5,2,4,2
107,4,5,5,1
108,3,2,2,1
109,2,4,5,4
110,5,4,3,5
111,2,1,4,3
112,4,3,3,1
113,3,4,1,2
