,name,menu,feature,address,img
0,통나무집닭갈비,"닭갈비, 철판닭갈비","2019대표맛집, 백종원의3대천왕, 줄서서먹는",강원도 춘천시 신북읍 천전리 38-26,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200203082813503_photo_fd2d3e4c0f06.jpg
1,원조숯불닭불고기,"닭불고기, 닭갈비, 숯불닭갈비","2019대표맛집, 수요미식회, 원조",강원도 춘천시 중앙로2가 70,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200129012438836_photo_931052eaee51.jpg
2,토담숯불닭갈비,"숯불닭갈비, 닭갈비","vj특공대, 참숯, 접대",강원도 춘천시 신북읍 천전리 90-12,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20191004101040_photo1_1d7d71e09247.jpg
3,샘밭막국수,"춘천막국수, 막국수, 닭갈비","맛있는녀석들, 원조, 가족외식",강원도 춘천시 신북읍 천전리 118-23,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200213124825_photo1_OWrS0fDK6PDV.jpg
4,우성닭갈비,"닭갈비, 닭내장, 철판닭갈비","수요미식회, 미식가, 아이와함께",강원도 춘천시 후평3동 801-11,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200123023233_photo1_81f97fbd9948.jpg
5,1.5닭갈비,"닭갈비, 닭내장","현지인추천, 배터지게먹는, 아이와함께",강원도 춘천시 후평3동 801-13,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200115023818998_photo_64cb5d33c0b7.jpg
6,육림닭강정,"닭강정, 치킨, 닭갈비","줄서서먹는, 허름한, 간식",강원도 춘천시 죽림동 30-22,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20191212161951_photo1_26b151aebb34.jpg
7,명동우미닭갈비,"닭갈비, 누룽지","원조, 현지인추천, 부모님과함께",강원도 춘천시 온의동 65-34,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20191027094003_profile_photo1_0bL0cFJIWzZp.jpg
8,봄고을,카페,"현지인추천, 깔끔한, 부모님",강원도 춘천시 신북읍 천전리 97-5,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200208000044_photo1_0a7340ebbad0.jpg
9,옹장골,"닭갈비, 감자전","2019숨은맛집, 분위기좋은, 모닥불",강원도 춘천시 남면 후동리 200,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20191110215611_photo8_a2e1b1990f36.jpg
