word_ind,ori_word,clip_code,eng_sent,kor_sent,sent_start,sent_end,word_loc,line_loc,whole_eng,whole_kor,word_meaning,video_name,_v_s,_v_e
1,understand,1001010,I still don't understand why you don't go to dinner or something.,저녁 먹거나 다른 거 하러 안 가는지 아직도 이해가 안 돼요,17124,20238,3,3,"You're right, it is simple.
Hey, Sheldon. - Penny.
Third floor tonight... mixing it up?
I still don't understand why you don't go to dinner or something.
All right, let's say I go to dinner alone,","그러게, 간단하네
쉘든 - 안녕하세요
오늘은 3층이랑 친해지기로 했어요?
저녁 먹거나 다른 거 하러 안 가는지 아직도 이해가 안 돼요
좋아요 혼자 저녁 먹으러 갔다고 하죠",v. 이해하다,Big Bang Theory Season 2 Ep02,888193,912066
1,understand,1001012,Then I hereby invoke what I'm given to understand,제가 이해한 우정의 암묵적인 계약에서 가장 핵심적인 부분을 실시하도록 할게요,8271,11087,8,2,"Didn't you recently state that you and I are friends?
Yes, Sheldon. We are friends.
Then I hereby invoke what I'm given to understand
The favor.","최근에 우리가 친구라고 페니가 그러지 않았었나요?
그래요, 우리 친구 맞아요
제가 이해한 우정의 암묵적인 계약에서 가장 핵심적인 부분을 실시하도록 할게요
부탁 말이에요",v. 이해하다,Big Bang Theory Season 2 Ep05,117914,139018
1,understand,1001013,"When you understand  the laws of physics,",물리의 법칙들을 이해한다면  불가능한 건 없죠,20999,23124,2,7,"You know, I do recall seeing  some female undergarments.
Where was that?
Oh, yes.
Earlier this evening,
and a brassiere caught my eye.
Do those look familiar?
How the hell did you get them up  on that telephone wire?
When you understand  the laws of physics,
And may I add: mwuh-ha-ha.
Get them down.  - Apologize.","어디 보자..  여성용 속옷을 본 것 같기도 한데
어디였더라?
아, 그렇지!
아까 창문 너머로
브래지어가 눈에 확 들어오더군요
혹시 페니 건가요?
도대체 어떻게 전화선 위에  올려놓은 거예요!
물리의 법칙들을 이해한다면  불가능한 건 없죠
한마디 더 붙이자면  '음하하'
옷들 내려놔요  - 사과해요 / 절대 안 해요",v. 이해하다,Big Bang Theory Season 2 Ep07,914256,948348
1,understand,1001014,"All right, but I'm given to understand that  when you have something awkward to discuss with someone,",그렇지만 다른 사람과 편치 않은 주제에 대해서 이야기하려면,20225,24056,6,5,"Are you currently sharing in the triumph of some local sports team?
What's wrong with you? You're freaking me out.
I'm striking up a casual conversation with you.
S'up?
Please don't do that.
All right, but I'm given to understand that  when you have something awkward to discuss with someone,
it's more palatable to preface it with banal chit chat.
So, this wasn't the awkward part?","지역 연고 구단들의 승리를 함께 만끽하고 계신가요?
갑자기 왜 그래요? 무섭잖아요
페니랑 일상적인 대화를 시작하려는 거예요
어떻게 지내요?
그러지 마요
그렇지만 다른 사람과 편치 않은 주제에 대해서 이야기하려면
진부한 대화로 시작하는 것이 편하다고 알고 있거든요
아직 편한 대화란 말이에요?",v. 이해하다,Big Bang Theory Season 2 Ep09,15750,48318
1,understand,1001015,Do you understand that this was supposed to be a date?,오늘이 내 데이트라는 거 알고 있어?,20840,23529,2,5,"Excuse me.
When I come back, just for fun,
Specifically, how would the Civil War have gone differently
if Lincoln had been a robot sent from the future?
Look at that, there's even pasta left over.
Do you understand that this was supposed to be a date?
I do. Do you?
Because frankly, you've been in a foul mood since I sat down.","잠시만요
좀 있다가 가상의 역사에 대해서 이야기해 드릴게요
특히 링컨 대통령이 미래에서 온 로봇이었다면
남북전쟁이 어떻게 되었을지 이야기해 드리죠
이것 봐 파스타가 모자라기는커녕 남잖아
오늘이 내 데이트라는 거 알고 있어?
당연하지, 넌 아는 거 맞아?
솔직히 내가 앉은 뒤부터 뭐 씹은 표정이더라",v. 이해하다,Big Bang Theory Season 2 Ep09,300646,330767
1,understand,1001019,"I'm given to understand women have different needs, so, we'll have to discuss that.",여자들은 다른 요구도 있다고 알고 있으니까 그에 대해서는 의논해봐야겠어,20238,24622,3,7,"Now, to review, the following provisions are hereby activated:
In the refrigerator,
the three of us now get individual shelves
and the door becomes communal.
Next, apartment vacuuming shall be increased from two to three times a week
to accommodate the increased accumulation of dead skin cells.
Third, the bathroom schedule.
I'm given to understand women have different needs, so, we'll have to discuss that.
I'm going to bed.
At least take this with you.","계속 보자면, 그다음 조항들도 활성화됐어
냉장고를 보면 2개의 개인 선반과 1개의 공용 선반이 있었는데
이제는 셋이서 각자의 선반을 쓰고
냉장고 문이 공용이야
아파트 청소는 일주일에 두 번에서 세 번으로 늘어날 거야
죽는 피부 세포들이 쌓이는 속도에 맞춰야지
세 번째로 화장실 시간인데
여자들은 다른 요구도 있다고 알고 있으니까 그에 대해서는 의논해봐야겠어
난 잘래
일단 이건 들고 가",v. 이해하다,Big Bang Theory Season 2 Ep10,145521,178287
2,move,1002011,Why don't we all move over there so Leslie can join us?,레즐리도 같이 앉게 저기로 옮길까? - 그래,14058,16496,4,5,"You mean, like Spock?
Sure.
Fascinating.
Hey, fellow scientists...

Why don't we all move over there so Leslie can join us?
If you're having trouble deciding where to sit,","스폭처럼 말이야?
당연하지
끝내주는데
안녕, 동료 과학자들
쉘든도 안녕
레즐리도 같이 앉게 저기로 옮길까? - 그래
어디 앉아야할지 고민된다면",v. 옮기다; 진행되다,Big Bang Theory Season 2 Ep02,843485,870113
2,move,1002012,I'm just not sure it's the right move for my character.,제 캐릭터가 제대로 행동하는 건지 확신이 안 서서요,19398,22545,7,7,"Why not? - I spilled grape juice.
Wear different pajamas.
I can't wear different pajamas-- these are my Monday pajamas.
People cannot be in my bedroom.
Fine, just tell me, is it too soon to join a quest to the Black Castle?
You were invited on a quest to the Black Castle?
By some guys in Budapest.
I'm just not sure it's the right move for my character.
Of course it's not-- you're only a level 25.
These Hungarians, they're just using you for dragon fodder.","왜요? - 포도 주스를 흘렸거든요
그럼 다른 잠옷 입어요
안 돼요, 이게 월요일 잠옷이에요
제 침실에는 아무도 못 들어와요
알았어요, 암흑성 퀘스트를 하기에는 너무 빠른지 대답만 해줘요
누가 암흑성 퀘스트 같이 하재요?
부다페스트에 사는 어떤 사람들이요
제 캐릭터가 제대로 행동하는 건지 확신이 안 서서요
당연히 아니죠 이제 고작 25레벨이에요
그 헝가리인들이 페니를 드래곤 먹이로 이용하려는 거예요",v. 옮기다; 진행되다,Big Bang Theory Season 2 Ep03,523420,552921
2,move,1002013,He's irony-impaired. Just move on.,얘는 반어법 이해 못 해 그냥 넘어 가,20525,23364,3,6,"home to many Vietnamese shrimpers.
Do the shrimpers feature in your story?
No.
Anyway, when I was eight,
a Montgomery Ward delivery van ran over our family cat Lucky.
Lucky? - Yes, Lucky.
He's irony-impaired. Just move on.
Dead cat named Lucky. Continue.
While others mourned Lucky,
I realized his untimely demise provided me with the opportunity","베트남인 새우잡이들의 고향이지
이야기에 새우잡이들도 나와?
아니
아무튼, 내가 8살이었을 때
몽고메리 병원 응급차가 우리 고양이 럭키를 치었어
럭키라고? - 그래, 럭키
얘는 반어법 이해 못 해 그냥 넘어 가
죽은 고양이 이름이 럭키였다고, 계속해
다른 사람들이 모두 럭키를 잃고 슬퍼할 때
럭키의 때 이른 죽음이",v. 옮기다; 진행되다,Big Bang Theory Season 2 Ep04,910897,944133
2,move,1002014,"Yeah, and they can all move in  with you and your mother.",다들 너랑 너희 어머니랑  같이 살면 되겠다,18199,21024,5,5,"They're gorgeous.
Nice!  Too bad that's a proper noun.
Look, there's  the future Mrs. Wolowitz.
No, wait, that's  the future Mrs. Wolowitz.
With her head in the lap of...  What a coincidence. It's the future Mrs. Wolowitz.
Yeah, and they can all move in  with you and your mother.
The current Mrs. Wolowitz.","끝내주는데
'월프'다!  대명사라서 못 써먹겠네
저기 미래의 왈로위츠 여사야
아니, 저쪽이 미래의 왈로위츠 여사야
머리가 누구 무릎에..  아무렴 어때, 미래의 왈로위츠 여사인데
다들 너랑 너희 어머니랑  같이 살면 되겠다
현재의 왈로위츠 여사랑 말이야",v. 옮기다; 진행되다,Big Bang Theory Season 2 Ep07,92048,118320
