index,der_word,subtitle_ind,eng_sent,video_code,start,end,tokens,movie_dir,sinc
0,or,0,Or you know one of them was gonna be this way john jones 12,FR101,1000,15018,or you know one of them was gonna be this way john jones,./friends,F
1,you,0,Or you know one of them was gonna be this way john jones 12,FR101,1000,15018,or you know one of them was gonna be this way john jones,./friends,F
2,know,0,Or you know one of them was gonna be this way john jones 12,FR101,1000,15018,or you know one of them was gonna be this way john jones,./friends,F
3,one,0,Or you know one of them was gonna be this way john jones 12,FR101,1000,15018,or you know one of them was gonna be this way john jones,./friends,F
4,of,0,Or you know one of them was gonna be this way john jones 12,FR101,1000,15018,or you know one of them was gonna be this way john jones,./friends,F
5,them,0,Or you know one of them was gonna be this way john jones 12,FR101,1000,15018,or you know one of them was gonna be this way john jones,./friends,F
6,was,0,Or you know one of them was gonna be this way john jones 12,FR101,1000,15018,or you know one of them was gonna be this way john jones,./friends,F
7,gonna,0,Or you know one of them was gonna be this way john jones 12,FR101,1000,15018,or you know one of them was gonna be this way john jones,./friends,F
8,be,0,Or you know one of them was gonna be this way john jones 12,FR101,1000,15018,or you know one of them was gonna be this way john jones,./friends,F
9,this,0,Or you know one of them was gonna be this way john jones 12,FR101,1000,15018,or you know one of them was gonna be this way john jones,./friends,F
10,way,0,Or you know one of them was gonna be this way john jones 12,FR101,1000,15018,or you know one of them was gonna be this way john jones,./friends,F
11,john,0,Or you know one of them was gonna be this way john jones 12,FR101,1000,15018,or you know one of them was gonna be this way john jones,./friends,F
12,jones,0,Or you know one of them was gonna be this way john jones 12,FR101,1000,15018,or you know one of them was gonna be this way john jones,./friends,F
13,nasty,1,Nasty on my tl right now is some sex and a young mob boss,FR101,15020,29158,nasty on my tl right now is some sex and young mob boss,./friends,F
14,on,1,Nasty on my tl right now is some sex and a young mob boss,FR101,15020,29158,nasty on my tl right now is some sex and young mob boss,./friends,F
15,my,1,Nasty on my tl right now is some sex and a young mob boss,FR101,15020,29158,nasty on my tl right now is some sex and young mob boss,./friends,F
16,tl,1,Nasty on my tl right now is some sex and a young mob boss,FR101,15020,29158,nasty on my tl right now is some sex and young mob boss,./friends,F
17,right,1,Nasty on my tl right now is some sex and a young mob boss,FR101,15020,29158,nasty on my tl right now is some sex and young mob boss,./friends,F
18,now,1,Nasty on my tl right now is some sex and a young mob boss,FR101,15020,29158,nasty on my tl right now is some sex and young mob boss,./friends,F
19,is,1,Nasty on my tl right now is some sex and a young mob boss,FR101,15020,29158,nasty on my tl right now is some sex and young mob boss,./friends,F
20,some,1,Nasty on my tl right now is some sex and a young mob boss,FR101,15020,29158,nasty on my tl right now is some sex and young mob boss,./friends,F
21,sex,1,Nasty on my tl right now is some sex and a young mob boss,FR101,15020,29158,nasty on my tl right now is some sex and young mob boss,./friends,F
22,and,1,Nasty on my tl right now is some sex and a young mob boss,FR101,15020,29158,nasty on my tl right now is some sex and young mob boss,./friends,F
23,young,1,Nasty on my tl right now is some sex and a young mob boss,FR101,15020,29158,nasty on my tl right now is some sex and young mob boss,./friends,F
24,mob,1,Nasty on my tl right now is some sex and a young mob boss,FR101,15020,29158,nasty on my tl right now is some sex and young mob boss,./friends,F
25,boss,1,Nasty on my tl right now is some sex and a young mob boss,FR101,15020,29158,nasty on my tl right now is some sex and young mob boss,./friends,F
26,mmm,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
27,there's,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
28,nothing,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
29,to,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
30,tell,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
31,you,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
32,something,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
33,i,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
34,am,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
35,not,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
36,wit,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
37,come,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
38,on,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
39,you're,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
40,going,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
41,out,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
42,with,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
43,guys,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
44,gotta,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
45,be,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
46,somethin,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
47,wrong,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
48,with,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
49,him,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
50,his,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
51,own,2,Mmm there's nothing to tell you something I am not wit come on you're going out with the guys gotta be somethin wrong with him his own,FR101,44900,60528,mmm there's nothing to tell you something i am not wit come on you're going out with guys gotta be somethin wrong with him his own,./friends,F
52,zorziah,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
53,behind,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
